institution.displayName,institution.schoolType,ranking.sortRank,searchData.enrollment.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.satAvg.displayValue,searchData.engineeringRepScore.rawValue,searchData.businessRepScore.rawValue,searchData.computerScienceRepScore.rawValue
Dartmouth College,national-universities,12,4556,6.0,,1440-1560,3.2,,3.7
Davidson College,national-liberal-arts-colleges,15,1973,18.0,3.8,1330-1490,,,
Denison University,national-liberal-arts-colleges,39,2272,28.0,,1230-1430,,,< 2.0
DePaul University,national-universities,137,14294,69.0,3.8,1080-1300,,3.1,2.5
DePauw University,national-liberal-arts-colleges,45,1724,65.0,3.9,1160-1420,,,2.1
DeSales University,national-universities,285,2309,78.0,3.4,1080-1260,,,
Dickinson College,national-liberal-arts-colleges,51,2173,48.0,,1373-1456,,,
Dillard University,national-liberal-arts-colleges,-1,1202,56.0,3.3,960-1120,,,
Divine Word College,national-liberal-arts-colleges,-2,69,100.0,,,,,
Dominican University New York,national-universities,-1,1147,77.0,3.1,993-1123,,,
Drake University,national-universities,137,2902,69.0,3.7,1190-1410,,2.4,
Drew University,national-liberal-arts-colleges,111,1625,80.0,3.1,1180-1350,,,
Drexel University,national-universities,105,12834,83.0,,1210-1410,3.1,3.1,3.2
Duke University,national-universities,10,6883,6.0,,1480-1570,3.9,,4.0
Duquesne University,national-universities,151,5085,92.0,3.8,1140-1310,2.7,2.6,< 2.0
D'Youville University,national-universities,299,1388,92.0,3.7,1030-1225,,,
Earlham College,national-liberal-arts-colleges,81,658,69.0,3.7,1090-1340,,,
East Carolina University,national-universities,234,22463,94.0,3.3,1000-1200,2.9,2.4,< 2.0
Eastern Kentucky University,national-universities,-1,11684,98.0,3.4,950-1180,,2.1,< 2.0
Eastern Michigan University,national-universities,-1,12730,85.0,3.4,930-1180,2.8,2.3,< 2.0
East Tennessee State University,national-universities,317,10316,87.0,3.5,940-1170,,2.3,< 2.0
East-West University,national-liberal-arts-colleges,-1,419,,,,,,
Eckerd College,national-liberal-arts-colleges,130,2036,70.0,3.8,1090-1285,,,
Edgewood College,national-universities,-1,1377,91.0,,,,,
Elon University,national-universities,89,6302,78.0,3.9,1170-1340,,3.0,2.1
Emmanuel College (MA),national-liberal-arts-colleges,151,1870,74.0,3.6,1150-1280,,,
Emory University,national-universities,22,7130,13.0,3.8,1420-1540,,4.0,3.2
Fairfield University,national-universities,115,4603,56.0,3.7,1230-1380,2.8,2.7,
Ferris State University,national-universities,-1,9248,85.0,3.3,930-1150,2.7,,
Fisk University,national-liberal-arts-colleges,151,914,61.0,,1060-1360,,,
Florida A&M University,national-universities,202,7301,35.0,3.7,1040-1170,,,2.3
Florida Atlantic University,national-universities,263,24861,78.0,3.7,1020-1200,2.1,2.7,2.3
Florida Gulf Coast University,national-universities,-1,14198,89.0,,1010-1180,2.8,2.3,
Florida Institute of Technology,national-universities,202,3496,66.0,3.7,1140-1340,2.2,,2.3
Florida International University,national-universities,151,46079,64.0,3.9,1060-1240,2.3,2.9,2.7
Florida State University,national-universities,55,33593,37.0,3.6,1180-1340,,3.3,3.0
Fordham University,national-universities,72,9904,58.0,3.7,1300-1480,,3.2,
Franklin College,national-liberal-arts-colleges,142,899,95.0,3.5,960-1180,,,
Franklin & Marshall College,national-liberal-arts-colleges,39,2145,38.0,,1240-1430,,,
Furman University,national-liberal-arts-colleges,45,2304,71.0,3.6,1240-1420,,,
Gallaudet University,national-universities,127,1012,62.0,3.3,765-1157,,,
Gannon University,national-universities,263,3165,84.0,3.6,990-1250,2.7,,< 2.0
Gardner-Webb University,national-universities,-1,1977,79.0,3.7,970-1230,,,
George Fox University,national-universities,263,2564,93.0,3.7,1090-1350,3.0,,
George Mason University,national-universities,137,26882,91.0,3.7,1140-1350,2.6,3.1,3.2
Georgetown College,national-liberal-arts-colleges,-1,1259,75.0,3.5,860-1100,,,
Georgetown University,national-universities,22,7598,12.0,,1410-1550,,4.0,3.2
George Washington University,national-universities,62,11502,50.0,,1310-1490,2.8,3.4,3.1
Georgia Institute of Technology,national-universities,44,17447,18.0,3.9,1360-1540,4.6,3.9,4.6
Georgia Southern University,national-universities,-1,23542,91.0,3.4,1000-1200,2.8,2.5,< 2.0
Georgia State University,national-universities,234,28990,69.0,3.5,975-1220,,3.4,2.8
Gettysburg College,national-liberal-arts-colleges,61,2401,56.0,,1280-1430,,,
Gonzaga University,national-universities,83,4986,76.0,3.7,1210-1380,3.3,3.0,2.4
Gordon College,national-liberal-arts-colleges,151,1368,77.0,3.6,1153-1370,,,
Goucher College,national-liberal-arts-colleges,111,1067,80.0,3.2,1030-1290,,,
Grand Canyon University,national-universities,-1,63752,81.0,,,2.0,,< 2.0
Grand Valley State University,national-universities,263,19379,92.0,3.7,1010-1230,3.1,2.3,< 2.0
Grinnell College,national-liberal-arts-colleges,15,1748,11.0,,1370-1530,,,2.7
Guilford College,national-liberal-arts-colleges,-1,1192,96.0,3.1,910-1190,,,
Gustavus Adolphus College,national-liberal-arts-colleges,81,2247,73.0,3.6,,,,
Gwynedd Mercy University,national-universities,-1,1792,91.0,3.3,950-1140,,,
Hamilton College,national-liberal-arts-colleges,15,2055,14.0,,1410-1540,,,
Hampden-Sydney College,national-liberal-arts-colleges,94,851,37.0,3.5,1080-1260,,,
Hampshire College,national-liberal-arts-colleges,120,472,75.0,,,,,
Hampton University,national-universities,219,2863,80.0,3.3,990-1180,2.6,,2.1
Hanover College,national-liberal-arts-colleges,102,1004,73.0,3.8,1110-1310,,,
Harding University,national-universities,263,3687,54.0,3.7,1060-1300,2.5,,< 2.0
Hardin-Simmons University,national-universities,-1,1476,95.0,3.5,970-1170,,,
Hartwick College,national-liberal-arts-colleges,142,1163,84.0,,1000-1220,,,
Harvard University,national-universities,3,7153,4.0,3.9,1480-1580,3.7,,4.3
Harvey Mudd College,national-liberal-arts-colleges,29,905,10.0,,1480-1560,4.5,,3.9
Haverford College,national-liberal-arts-colleges,18,1420,18.0,,1420-1540,,,
Hebrew Theological College,national-liberal-arts-colleges,-2,181,83.0,,,,,
Hellenic College,national-liberal-arts-colleges,-2,46,57.0,,,,,
Hendrix College,national-liberal-arts-colleges,102,1111,68.0,3.7,1090-1340,,,
Hillsdale College,national-liberal-arts-colleges,48,1515,24.0,3.9,1340-1510,,,
Hobart and William Smith Colleges,national-liberal-arts-colleges,72,1660,67.0,3.6,1170-1370,,,
Hofstra University,national-universities,166,6050,68.0,3.7,1180-1370,3.4,2.9,2.3
Hollins University,national-liberal-arts-colleges,102,713,75.0,3.7,1080-1340,,,
"Holy Cross College at Notre Dame, Indiana",national-liberal-arts-colleges,-1,503,84.0,3.6,1110-1320,,,
Hope College,national-liberal-arts-colleges,102,3132,84.0,3.8,1090-1340,2.8,,
Houghton University,national-liberal-arts-colleges,130,871,79.0,3.5,1100-1290,,,
Howard University,national-universities,89,8964,35.0,3.7,1080-1290,2.6,3.1,2.8
Husson University,national-universities,-1,2572,86.0,3.4,975-1150,,,
Idaho State University,national-universities,-1,9575,,,,2.1,2.4,2.4
Illinois College,national-liberal-arts-colleges,130,1097,79.0,3.6,960-1150,,,
Illinois Institute of Technology,national-universities,127,2998,66.0,3.8,1230-1410,2.8,2.4,3.0
Illinois State University,national-universities,219,17674,92.0,3.6,1000-1200,,2.6,2.1
Immaculata University,national-universities,250,1576,80.0,3.5,1083-1230,,,
Indiana State University,national-universities,-1,7704,94.0,3.3,930-1150,,2.5,2.3
Indiana University--Bloomington,national-universities,72,34253,85.0,3.7,1160-1380,,4.2,3.4
Indiana University of Pennsylvania,national-universities,-1,7339,94.0,3.4,940-1140,,2.2,< 2.0
Indiana University-Purdue University--Indianapolis,national-universities,202,19197,84.0,3.5,1040-1230,2.5,,2.7
Iowa State University of Science and Technology,national-universities,127,25808,91.0,3.7,1083-1330,3.2,3.2,3.1
Jackson State University,national-universities,-1,4763,62.0,3.1,890-1050,< 2.0,2.0,< 2.0
James Madison University,national-universities,151,20070,86.0,,1140-1310,3.6,3.0,
Johns Hopkins University,national-universities,7,6132,8.0,3.9,1510-1570,4.0,,4.2
